et    and, and even
simulac    as soon as, the moment that
simila    normal flour produced from triticum
sentio    perceive, feel, experience
securitas    freedom from care
secludo    shut off
salto    dance, jump
respicio    look back at
respectus    looking back (at)
rectum    virtue
reciprocus    going backwards and forwards
rarus    thin, scattered
quies    quiet, calm, rest, peace
pudor    decency, shame
proprius    own, very own
princeps    leader/chief, first/leading member/citizen/man
praesentio    feel or perceive beforehand
postulo    demand, claim
poeniteo    displease
pietas    responsibility, sense of duty
Paulus    Paul
parito    make ready
origo    origin, source
objicio    throw before/to, cast
ob    on account of, for the sake of, for
numerus    number/sum/total/rank
moneo    remind, advise, warn
misericordia    pity, sympathy
libido    desire/longing/wish/fancy
libertas    freedom, liberty
jus    gravy
judico    judge, give judgement
intellectualis    intellectual, of the mind or understanding
infra    below, on the under side, underneath
individuum    atom
incrementum    growth, development, increase
inconstans    changeable, fickle
impotens    powerless, impotent, wild, headstrong
immediatus    absolute (contraries), non-mediated
ignoro    not know
gloria    glory, fame
glans    acorn
futurus    about to be
fortuna    chance, luck, fate
forma    form, figure, appearance
fallo    deceive
falsitas    falsehood, untruth, fraud, deceit
extendo    stretch/thrust out
existimatio    opinion (good/public)
evenio    come out/about/forth
divido    divide, separate, break up
distinguo    distinguish, separate, divide, part
discrepo    be out of tune
dirigo    direct, steer, guide, align, point
decerno    decide/settle/determine/resolve
damnum    finanical/property/physical loss/damage/injury
contristo    sadden, make gloomy, depress, discourage
contradictio    objection
conservatio    preservation, conservation, keeping (intact)
conflicto    harm, assail, harass, distress, torment, vex
concatenatio    connecting/joining
communiter    in common, commonly
civitas    community/city/town/state
cieo    move
certitudo    certainity, certitude
brutum    beast, animal
avarus    miser
auxilium    help, assistance
ars    skill/craft/art
animal    animal, living thing/offspring
amicitia    friendship, bond between friends
alatus    winged, having/furnished with wings
volitio    volition
veneo    go for sale, be sold (as slave), be disposed of for (dishonorable/venal) gain
varius    different
ubique    anywhere, everywhere (ubiquitous)
turpis    ugly
timeo    fear, dread, be afraid (ne + SUB = lest
talus    ankle, ankle/pastern bone
supersum    be left over
simus    flatnosed, snub-nosed
similo    imitate, copy
sicuti    as, just as
respondeo    answer
remano    flow back
religio    supernatural constraint/taboo
realiter    really
quippe    of course
quinque     5th - (ORD, 'in series')
quiesco    rest, keep quiet/calm, be at peace/rest
quantitas    magnitude/multitude, quantity, degree, size
quaero    search for, seek, strive for
promo    take/bring out/forth
prolixus    luxuriant, extensive (growth)
praeterquam    except, besides
potior    get possession of, acquire, become master of (with gen. or abl.)
periculum    danger, peril
perfectus    perfect, complete
par    companion
officio    block the path (of ), check, impede
occupo    seize
novo    make new, renovate
nescio    not know (how)
narro    tell, tell about, relate, narrate, recount, describe
modificatio    measuring
modero    check, slow down, control
miseria    misery, distress, woe, wretchedness, suffering
meus    my (personal possession)
metuo    fear
mereo    earn
medius    mediator
libo    nibble, sip
libero    free
junctus    connected in space, adjoining, contiguous
inservio    be serviceable
infero    bring in, import
indivisibilis    indivisible, inseparable
incido    happen
hucusque    thus far, to this point, up to this time
fundamentum    foundation
fortitudo    strength, courage, valor
fluctuatio    swaying/shaking, restless movement (wave)
finio    limit, end
fateor    admit, confess (w/ACC)
exsisto    step out, come forth, emerge, appear, stand out, project
experior    test, put to the test
exemplar    model, pattern, example, original, ideal
excito    wake up, stir up
error    wandering
duratio    duration
dolus    trick, device, deceit, treachery, trickery, cunning, fraud
doceo    teach, show, point out
divisibilis    divisible
determinatio    boundry
desperatio    desperation
despectus    view down/from above
desiderium    desire/longing/want/requirement
deque    downwards
demonstro    point out/at/to, draw attention to
credo    trust, entrust
consternatio    confusion/dismay/shock/alarm
consequor    follow, go/come after
conscientia    (joint) knowledge, complicity (of crime)
compono    compare
praesertim    especially
praescribo    order, direct
praeditus    gifted
potissi    chief, principal, most prominent/powerful
potens    powerful, strong
persevero    persist, persevere
pereo    die, pass away
pergo    go on, proceed
malus    bad, evil, wicked
pedes    foot soldier, infantryman
ordino    order/arrange, set in order
que    we (pl.), us
nimis    very much
nimius    excessive, too great
nil    nothing
no    swim, float
negligo    disregard, neglect, ignore, regard of no consequence
negatio    denial, refusal
naturo    produce naturally
mutilo    maim, mutilate
muto    move, change, shift, alter, exchange, substitute (for)
multum    many things (pl.)
mordeo    bite
modestia    restraint, temperateness
mare    sea
manus    hand, fist
manifesto    make visible/clearer/evident/plain
loquor    speak, tell
liberto    liberate
lemma    theme, title
laudo    recommend
latus    wide, broad
lapido    throw stones at
judicium    trial, legal action/process
irrisio    derision
intersum    be/lie between, be in the midst
intendo    hold out
instituo    set up, establish, found, make, institute
ingenium    trick, clever device
ingenero    implant
incipio    begin
imperfectio    imperfection
imbecillitas    weakness, feebleness
ibi    there, in that place
hilaritas    cheerfulness, lightheartedness
glorior    boast, brag
forsan    perhaps
formo    form, shape, fashion, model
firmiter    really, strongly, firmly
fingo    mold, form, shape
felicitas    luck, good fortune
fabrica    craft, art
exemplaris    exemplary, serving as example/pattern
doctrina    education
dispositio    layout
dispono    dispose, place here and there, distribute
differentia    difference/diversity/distinction
destruo    demolish, pull/tear down
dependo    pay over/down
defico    deify, make one a god
creo    create/bring into being/make
confero    bring together, carry/convey
contemno    think little of
constitutio    constitution/disposition/structure/character
constans    constant, unchanging
consensus    agreement (opinion), consent, harmony
conscius    accomplice, accessory
concateno    link/bind together
cogitatio    thinking, meditation, reflection
claro    make visible
cado    fall, sink, drop, plummet, topple
augeo    increase, enlarge, augment
aqua    water
appello    call (upon)
alteruter    one (of two), one or the other
alter    second/further/next/other/latter/some person/thing (actually PRON)
alto    raise, make high, elevate
affirmatio    affirmation, strengthening of belief
aequalis    equal, similar
addo    add, insert, bring/attach to, say in addition
accommodo    adapt, adjust to, fit, suit
absolvo    free (bonds), release
volens    willing, welcome
vitium    fault, vice, crime, sin
vir    man
vindicta    ceremonial act claiming as free one contending wrongly enslaved
vinco    conquer, defeat, excel
vigilo    remain awake, be awake
veritas    truth, fact, accuracy
vello    pluck/pull/tear out
uber    fertile, rich, abundant, abounding, fruitful, plentiful, copious, productive
tat    what! (Plautus)
tres     3th - (ORD, 'in series')
termen    boundary, limit, end
suspendo    hang up, suspend
superficies    top, surface, upper layer
superbus    arrogant, overbearing, haughty, proud
sublatus    elated
suadeo    urge, recommend
studium    eagerness, enthusiasm, zeal, spirit
spontaneus    of one's own will
spiritus    breath, breathing, air, soul, life
spero    hope for
specto    observe, watch, look at, see
societas    society
siquidem    accordingly
servitus    slavery
servo    watch over
sententia    opinion, feeling, way of thinking
sensus    feeling, sense
securus    secure, safe, untroubled, free from care
T.    Titus, Roman praenomen
nequaquam    by no means
nausea    nausea
natio    nation, people
mox    soon, next (time/position)
mos    custom, habit
mollis    soft
minuo    lessen, reduce, diminish, impair, abate
memoria    memory, recollection
bonus    good, honest, brave, noble, kind, pleasant, right, useful
materia    wood (building material), lumber, timber
manifestus    detected, plainly guilty
lubet    it pleases/is pleasing/agreeable
linea    string, line (plumb/fishing)
limito    bound
liberta    freedwoman
juro    swear
jungo    join, unite
invidus    hateful, ill disposed, hostile, malevolent
invenio    come upon
intervallum    interval, space, distance
internus    inward, internal
insupo    throw in
instar    image, likeness, resemblance
insero    plant, sow
insanio    be mad, act crazily
injuria    injury
ineo    enter
infans    infant
insum    be in/on/there
induo    put on, clothe, cover
indignatio    indignation
inconstantia    changeableness fickleness
incommodum    disadvantage, inconvenience, setback, harm, detriment
impetus    attack, assault, charge
imperfectus    unfinished, incomplete
immoderatus    unlimited, immoderate, disorderly
imitor    imitate, copy, mimic
fero    - in, - on, - against
humano    make human
hora    hour
gradus    step
geometricus    geometer
fugio    flee, fly, run away
fruor    enjoy (proceeds/socially/sexually), profit by, delight in (w/ABL)
foveo    keep warm
fors    chance
forus    gangway in a ship
fluidus    liquid
fine    up to
finalis    of/concerned w/boundaries
fero    bring, bear
for    speak, talk
favor    favor, goodwill
expressus    distinct/clear/plain/visible/prominent, clearly defined
existimo    value/esteem
equidem    truly, indeed
efficens    efficient, effective
durum    hardships (pl.)
dummodo    provided (that) (+ subj)
ducenti     200 - (CARD answers 'how many')
dubitatio    doubt, irresolution, uncertainty
domus    house, building
dolor    pain, anguish, grief, sorrow, suffering
dolo    hew/chop into shape, fashion/devise
divitia    riches (pl.), wealth
divinus    prophet
diu    by day, all day
disto    stand apart, be distant
deterioro    deteriorate, make worse
desidero    desire/want, long/wish for, request, require/need
delirium    delirium, frenzy
deliro    be mad/crazy/deranged/silly
definio    define/bound/fix/limit/mark
declino    decline/conjugate/inflect (in the same manner/like)
cura    concern, worry, anxiety, trouble
convivo    give/attend dinner party/banquet
controversia    controversy/dispute
contingenter    contingently
consequus    following
conscio    feel guilty
connexio    junction/meeting
conflo    kindle/ignite, blow on
concorditer    harmoniously, amicably, in a concordant manner
concedo    relinquish/give up/concede
comprehendo    catch/seize/grasp firmly
compos    in possession/control/mastery of
competo    meet
compereo    perish together
compenso    balance/weigh, offset
communa    common usage
communico    share
commotio    excitement, commotion, agitation
cognosco    become acquainted with/aware of
cogo    collect/gather, round up, restrict/confine
classis    class/division of Romans
civilis    of/affecting fellow citizens
circumstantia    encircling position/troop
cio    move
cerebrum    brain
celeritas    speed, quickness, rapidity
canus    gray hairs (pl.)
caeco    blind
Brutus    Brutus
brachium    arm
benefacio    do service to/confer benefit on (class. 2 words)
audacia    boldness, daring, courage, confidence
assuesco    accustom, become/grow accustomed to/used to/intimate with
argumentum    proof
argumentor    support/prove by argument, reason, discuss
animalis    made of air
angulus    angle, apex
aliquot    some/several/a few people
agnosco    recognize, realize, discern
aestimo    value, assess
aequilibrium    state of equilibrium
aegroto    be sick
adhaereo    adhere, stick, cling/cleave to
abusus    abusing, misuse, wasting
abstractus    abstract (as opposed to concrete)
abicio    throw/cast away/down/aside
absum    be away/absent/distant/missing
zelotypus    jealous
vocabulum    noun, common/concrete noun
vivo    be alive, live
vitupero    find fault with, blame, reproach, disparage, scold, censure
vindico    claim, vindicate
vinculum    chain, bond, fetter
vestigium    step, track
vespertinus    evening
verso    keep turning/going round, spin, whirl
verecundia    shame
venio    come
veneratio    veneration, reverence, worship
velut    just as, as if
vehemens    violent, severe, vehement, emphatic, vigorous
vates    prophet, soothsayer
vario    mark with contrasting colors, variegate
vanitas    emptiness, untruthfulness
valeo    be strong/powerful/influential/healthy
utpote    as, in as much as
-    far
tres     3 - (CARD answers 'how many')
triangulus    three-cornered, triangular
transitio    passing over, passage
traho    draw, drag, haul
tracto    draw, haul, pull, drag about
theologus    theologian, one who writes/discourses/teaches on God/gods
testor    give as evidence
terra    earth, land, ground
termino    mark the boundaries of, form the boundaries of
tempero    combine, blend, temper
tarditas    slowness of movement, action, etc
tantopere    so much, so hard
tango    touch, strike
tabula    writing tablet (wax covered board)
superstitio    superstition
subeo    go/move/pass/sink/extend underneath/into
suavis    agreeable, pleasant, gratifying, sweet
stupefacio    strike dumb/stun with amazement, stupefy
stultus    fool
sisto    stop, check
statua    statue
spatium    space
somnio    dream
sobrietas    sobriety, freedom from intoxocation
sitis    thirst
sino    allow, permit
singultus    sobbing
simplex    single
similitudo    likeness, imitation
signum    battle standard
significatio    signal, outward sign
significo    signify, indicate, show
separatim    apart, separately
sensum    thought
scientia    knowledge, science
sapio    taste of
sapienter    wisely, sensibly
salus    health
rideo    laugh at (with dat.), laugh
resto    stand firm
repugno    fight back, oppose
repraesento    represent, depict
repeto    return to
reperio    discover, learn
removeo    move back
remotus    remote
rex    king
regula    ruler, straight ede (drawing)
reflecto    bend back
redeo    return, go back, give back
realis    real
quotiescunque    whenever, every time that
quomodocunque    however, no matter what way
quinque     5 - (CARD answers 'how many')
qu    PACKON w/qui-anyone
queo    be able
quanquam    though, although
pusillanimitas    faintheartedness, timidity, cowardness, lack of courage
pupilla    orphan girl, ward, minor
punio    punish (person/offence), inflict punishment
punctum    point
puer    boy, lad, young man
pudeo    be ashamed
prudentia    discretion
proxi    nearest/closest/next
prosequor    pursue
proprietas    quality
propono    display
propinquus    relative
propendeo    hand down
prope    near
promoveo    move forward
profiteor    declare
produco    lead forward, bring out
procreo    bring into existence, beget, procreate
proclivis    sloping down
privo    deprive, rob, free
primitivus    early
pravus    crooked
praevaleo    prevail
praestans    excellent, outstanding (in quality/worth/degree/importance), surpassing all
praemitto    send ahead or forward
praedico    proclaim/declare/make known/publish/announce formally
praecipuus    particular, especial
potus    drink/draught
potestas    power, rule, force
polleo    exert power or influence
poeta    poet
poenitentia    regret (for act)
plo    multiply by X (only with numerical prefix), X-tuple, increase X fold
planum    plan (drawing)
placo    appease
alus    species of comfrey plant
innuo    nod or beckon (to)
parvus    small, little, cheap
meridianus    of midday, noon
meditatio    contemplation, meditation
mediocris    medium, average, middling, ordinary, moderate, tolerable
matutinus    early
malo    prefer
magnitudo    size, magnitude, bulk
luo    pay
luxuria    luxury
lingua    tongue
lineo    smear, plaster (with)
limes    path, track
libet    it pleases, is pleasing/agreeable
libidinosus    lustful, wanton
laus    praise, approval, merit
laetus    happy/cheerful/joyful/glad
lacrima    tear
justus    just, fair, equitable
itidem    in the same manner/way, just so
iter    journey
iste    that, that of yours, that which you refer to
invito    invite, summon
invideo    envy, regard with envy/ill will
inutilis    useless, unprofitable, inexpedient, disadvantageous
intuitivus    intuitive
intueor    look at
intrinsecus    inward
interim    meanwhile, in the meantime
interficio    kill
integer    untouched, entire, whole, complete
insto    pursue, threaten
inscius    not knowing, ignorant
inquiro    examine, investigate, scrutinize
inquino    daub
initium    beginning, commencement
infinitas    limitless extent
iners    helpless, weak, inactive, inert, sluggish, stagnant
indignor    deem unworthy, scorn, regard with indignation, resent, be indignant
indignus    unworthy, undeserving, undeserved
indifferens    indifferent
experientia    trial, experiment
exemplo    adduce/serve as example/model/pattern
excogito    think out
excedo    pass, withdraw, exceed
evanesco    vanish/disappear
etsi    although, though, even if
ethice    ethics
enumero    count up, pay out
ejusmodi    of this sort
ebrius    drunk, intoxicated
ebrietas    drunkenness, intoxication
duplum    double
dubium    doubt
donum    gift, present
dogma    doctrine, defined doctrine
discordia    disagreement, discord
diminuo    lessen, diminish
dii    god
conatus    attempt, effort
compositio    arrangement, combination
commodum    convenience, advantage, benefit
comminisco    devise, think up, invent
comito    accompany, go along with
comedo    eat up/away, chew up
cohibeo    hold together, contain
cognitus    known (from experience/carnally)), tried/proved
coeo    fit together
coactum    thick/fulled covering
clemens    merciful/loving
civis    fellow citizen
circumferentia    circumference
circito    go round as a hawker/peddler/solicitor
cibus    food
charta    paper/papyrus (sheet)
cesso    be remiss/inactive
cedo    go/pass (from/away)
cautio    bail/pledge/security, undertaking, guarantee
carpo    seize/pick/pluck/gather/browse/tear off
careo    be without/absent from/devoid of/free from
capitum    fodder for cattle
capax    large, spacious, roomy, big
caecus    blind
cadaver    corpse, cadaver, dead body
benevolens    kind, friendly, benevolent, well-wishing, kind-hearted
beneplaceo    please
bellum    war, warfare
audio    hear, listen, accept, agree with
audeo    intend, be prepared
auctor    seller, vendor
attendo    turn/stretch towards
assigno    assign, distribute, allot
assentio    assent, approve, agree in opinion
aspicio    look/gaze on/at, see, observe, behold, regard
aspectus    appearance, aspect, mien
arcte    closely/tightly (bound/filled/holding)
applico    apply, put in practice
appetitus    appetite, desire
appendix    appendix, supplement, annex
aperio    uncover, open, disclose
annus    year (astronomical/civil)
anima    soul, spirit, vital principle
amplus    great, large, spacious, wide, ample
amplector    surround, encircle, embrace, clasp
amoveo    move/take/put away, remove, steal
amitto    lose
amb    both
ambitiosus    ambitious, eager to please/for advancement/favor
amasia    female lover
aliquatenus    for a certain/restricted distance/time/degree/extent
alimentum    food/nourishment, provisions
alienum    another's property/land/possessions
album    white (color)
agito    stir/drive/shake/move about
assum    be near, be present, be in attendance, arrive, appear
affirmo    affirm/assert (dogmatically/positively)
affero    bring to (word/food), carry, convey
aetas    lifetime, age, generation
aequo    level, make even/straight
aemulatio    rivalry, ambition
aedificium    building
adulo    fawn upon (as a dog)
adhibeo    summon, invite, bring in
adfero    bring to, carry, convey
actualis    active, practical
accipio    take, grasp, receive, accept, undertake
abstineo    withhold, keep away/clear
absens    absent, missing, away, gone
abjectio    dejection
aberro    stray, wander, deviate
zelotypia    jealousy
vultus    face, expression
vulgo    spread around/among the multitude
volo    fly
vox    voice, tone, expression
vividus    lively, vigorous spirited lifelike
vireo    be green or verdant
viginti     20 - (CARD answers 'how many')
vigeo    be strong/vigorous
victus    living, way of life
victor    conqueror
vicinus    neighbor
naris    nostril
via    way, road, street
vespera    evening, even-tide
